"Marché_National_Produit";"Catégorie_Produit";"Type_Produit";"Code_Référence";"Date_Dernière_Mise_A_Jour_Du_Dossier";"Nom_Marque_Produit";"Nom_Sous-type_Marque_Produit";"Filtre_Produit";"Unités_Conditionnement_Produit";"Type_Conditionnement_Produit";"Type_Numéro_Produit";"Numéro_Produit";"Date_Notification";"Date_Lancement_Produit";"Longueur_Produit";"Diamètre_Produit";"Poids_Produit";"Poids_Tabac_Produit";"Longueur_Filtre_Produit";"Ventilation_Filtre_Cigarette";"Baisse_Pression_Filtre_Cigarette_Fermé";"Baisse_Pression_Filtre_Cigarette_Ouvert";"Émission_Goudron";"Émission_Nicotine";"Émission_CO"
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DAC734CCEE1B9F34]";"26/08/2020 15:50:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55371";15/4/2019 10:11:51;18/6/2020 00:00:00;83.00;7.80;818.00;579.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DB16620875BA4090]";"24/08/2021 16:01:00";"News Rouge";"News Rouge";"filtre";30.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55286";22/7/2019 16:26:39;17/6/2020 00:00:00;83.00;7.80;798.00;577.00;21.00;24.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DB314FACBE80B0B9]";"24/08/2021 16:01:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55848";22/7/2019 16:26:39;1/7/2020 00:00:00;83.00;7.80;798.00;577.00;21.00;24.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DC82BCB79B4F2666]";"28/08/2020 15:38:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55371";29/4/2019 16:23:22;18/6/2020 00:00:00;83.00;7.80;818.00;578.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DCD5F653334217B8]";"16/09/2020 11:22:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55848";5/2/2019 16:07:11;22/8/2020 00:00:00;83.00;7.80;819.00;576.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DCDA67D763821764]";"24/08/2021 16:01:00";"News Rouge";"News Rouge";"filtre";25.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55283";22/7/2019 16:26:39;19/1/2021 00:00:00;83.00;7.80;798.00;577.00;21.00;24.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DD10B35000566AF1]";"27/08/2020 11:28:00";"News Rouge";"News Rouge";"filtre";25.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55376";29/4/2019 10:39:31;18/6/2020 00:00:00;83.00;7.80;818.00;578.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DD72464422B511A3]";"26/04/2022 16:21:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"60474";6/9/2019 11:13:47;18/6/2020 00:00:00;83.00;7.80;813.00;577.00;21.00;27.00;120.00;94.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DD86751E60F7BEB0]";"28/08/2020 15:38:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"59764";29/4/2019 16:23:22;19/5/2020 00:00:00;83.00;7.80;818.00;578.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DD89132686608873]";"28/08/2020 15:38:00";"News Rouge";"News Rouge";"filtre";25.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55283";29/4/2019 16:23:22;21/4/2020 00:00:00;83.00;7.80;818.00;578.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DDCA8BC27597ACA8]";"24/08/2021 09:45:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"59764";17/12/2019 13:50:55;19/5/2020 00:00:00;83.00;7.80;811.00;584.00;21.00;25.00;99.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DDD25AC951D4BE44]";"27/08/2020 11:28:00";"News Rouge";"News Rouge";"filtre";30.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55286";29/4/2019 10:39:31;18/6/2020 00:00:00;83.00;7.80;818.00;578.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DE071861665CFF0D]";"23/08/2021 12:37:00";"News Rouge";"News Rouge";"filtre";30.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"52151";7/2/2018 16:59:07;10/5/2016 00:00:00;83.00;7.80;834.00;597.00;21.00;19.00;112.00;94.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DE29736A72558A8B]";"26/04/2022 16:21:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"60474";6/9/2019 11:13:47;17/9/2019 00:00:00;83.00;7.80;813.00;577.00;21.00;27.00;120.00;94.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DE711FA3EA45EDAE]";"02/02/2022 16:50:00";"News Rouge";"News Rouge";"filtre";25.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"66667";22/6/2020 11:06:33;13/9/2021 00:00:00;83.00;7.80;826.00;144.00;22.00;32.00;112.00;90.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DE9CDCF67A66DE11]";"26/04/2022 16:10:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55287";14/5/2019 16:45:04;4/4/2022 00:00:00;83.00;7.80;799.00;573.00;21.00;25.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DEB2AA5F65176B27]";"26/04/2022 16:10:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55820";14/5/2019 16:45:04;1/6/2020 00:00:00;83.00;7.80;799.00;573.00;21.00;25.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DEE06891D759E854]";"28/08/2020 15:38:00";"News Rouge";"News Rouge";"filtre";30.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55375";29/4/2019 16:23:22;21/4/2020 00:00:00;83.00;7.80;818.00;578.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DEECCFE22F7A77E9]";"26/04/2022 16:10:00";"News Rouge";"News Rouge";"filtre";25.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55283";14/5/2019 16:45:04;8/7/2021 00:00:00;83.00;7.80;799.00;573.00;21.00;25.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DF4F44C3D7029583]";"24/08/2021 12:05:00";"News Rouge";"News Rouge";"filtre";30.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55286";18/11/2019 16:33:13;26/5/2020 00:00:00;83.00;7.80;804.00;568.00;21.00;33.00;117.00;86.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [DFBE57A459B64553]";"01/07/2020 14:50:00";"News Rouge";"News Rouge";"filtre";30.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55286";27/1/2020 11:54:27;17/6/2020 00:00:00;83.00;7.80;823.00;579.00;21.00;23.00;120.00;94.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [E0259BA8798686B0]";"24/08/2021 16:01:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55287";22/7/2019 16:26:39;16/3/2021 00:00:00;83.00;7.80;798.00;577.00;21.00;24.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [E03E932D8512E138]";"02/02/2022 16:50:00";"News Rouge";"News Rouge";"filtre";30.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"68641";22/6/2020 11:06:33;23/10/2020 00:00:00;83.00;7.80;826.00;144.00;22.00;32.00;112.00;90.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [E0CAA52329D31948]";"01/07/2020 14:50:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"60474";27/1/2020 11:54:27;5/9/2019 00:00:00;83.00;7.80;823.00;579.00;21.00;23.00;120.00;94.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [E0F8DB30F25B4C1A]";"24/08/2021 16:01:00";"News Rouge";"News Rouge";"filtre";30.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55286";22/7/2019 16:26:39;9/11/2020 00:00:00;83.00;7.80;798.00;577.00;21.00;24.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [E1118EEBB4628C32]";"28/08/2020 15:38:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"54587";29/4/2019 16:23:22;27/8/2020 00:00:00;83.00;7.80;818.00;578.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [E15F2E280B323C54]";"26/04/2022 16:21:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"60474";6/9/2019 11:13:47;5/9/2019 00:00:00;83.00;7.80;813.00;577.00;21.00;27.00;120.00;94.00;10.00;0.80;10.00
